complaint_id,category,amount_inr,hour_of_day,mule_hops,lead_time_minutes,nearest_cluster,station,officer,phone,lat,lng,hist_density,predicted_risk_score
NCRP-2026-10000,Impersonation / Vishing,18479,10,2,17,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.6226,77.21925,80.35,50.7
NCRP-2026-10001,Loan App Extortion,20033,20,2,28,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.49144,77.09384,66.29,42.8
NCRP-2026-10002,Impersonation / Vishing,58167,11,2,20,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.49319,77.08819,68.44,49.1
NCRP-2026-10003,Investment / Ponzi Fraud,10804,1,2,15,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.55459,77.33496,77.35,47.9
NCRP-2026-10004,Loan App Extortion,28677,5,1,21,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.50178,77.07973,68.27,49.1
NCRP-2026-10005,Impersonation / Vishing,137471,7,2,38,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.49695,77.09655,68.1,54.8
NCRP-2026-10006,UPI / QR Code Scam,26490,12,1,38,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.62781,77.22516,85.55,52.6
NCRP-2026-10007,Impersonation / Vishing,133231,8,2,21,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.71759,77.11948,74.26,56.3
NCRP-2026-10008,Investment / Ponzi Fraud,41953,4,4,36,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.72258,77.11707,77.94,43.9
NCRP-2026-10009,Impersonation / Vishing,15708,6,2,70,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.56761,77.32551,80.32,45.9
NCRP-2026-10010,Loan App Extortion,116208,9,3,45,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.58378,77.33259,79.32,51.0
NCRP-2026-10011,Impersonation / Vishing,16510,6,3,44,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.56805,77.33201,72.75,39.8
NCRP-2026-10012,UPI / QR Code Scam,37013,4,2,16,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.62194,77.08592,68.73,48.9
NCRP-2026-10013,UPI / QR Code Scam,24176,6,2,15,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57068,77.32578,74.03,49.0
NCRP-2026-10014,Loan App Extortion,31161,0,1,27,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.49167,77.08883,63.33,48.5
NCRP-2026-10015,UPI / QR Code Scam,91263,4,2,38,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.61982,77.27195,96.76,59.4
NCRP-2026-10016,Loan App Extortion,107722,3,1,12,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.64587,77.27795,88.27,64.5
NCRP-2026-10017,Part-Time Job / Task Fraud,100918,10,1,22,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.49862,77.06974,70.22,55.1
NCRP-2026-10018,Investment / Ponzi Fraud,289349,11,2,25,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.48152,77.09045,68.72,68.9
NCRP-2026-10019,UPI / QR Code Scam,14394,7,3,44,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.72084,77.12444,82.15,45.3
NCRP-2026-10020,Investment / Ponzi Fraud,62772,8,1,27,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.73083,77.11849,73.47,54.4
NCRP-2026-10021,Investment / Ponzi Fraud,32920,22,1,33,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.70896,77.11587,75.24,49.9
NCRP-2026-10022,UPI / QR Code Scam,65270,0,1,16,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.5812,77.31525,81.91,58.6
NCRP-2026-10023,UPI / QR Code Scam,26394,5,2,36,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.63031,77.27882,87.71,51.1
NCRP-2026-10024,Part-Time Job / Task Fraud,25631,2,1,41,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.6228,77.27252,88.37,58.0
NCRP-2026-10025,Part-Time Job / Task Fraud,77501,0,1,35,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.72436,77.11511,82.12,58.9
NCRP-2026-10026,Loan App Extortion,90047,0,1,20,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.62602,77.11862,71.49,56.4
NCRP-2026-10027,UPI / QR Code Scam,29886,21,2,21,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.58592,77.32059,82.36,51.3
NCRP-2026-10028,Part-Time Job / Task Fraud,20807,14,2,26,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.63158,77.08659,70.06,45.3
NCRP-2026-10029,Impersonation / Vishing,36292,0,2,23,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.63444,77.28423,87.18,53.6
NCRP-2026-10030,Loan App Extortion,37201,11,2,19,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.64848,77.22496,80.95,52.6
NCRP-2026-10031,Part-Time Job / Task Fraud,41243,4,2,62,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.62601,77.28607,93.29,53.3
NCRP-2026-10032,Loan App Extortion,63748,3,2,33,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.72521,77.11478,78.7,50.7
NCRP-2026-10033,Impersonation / Vishing,49440,4,2,36,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.62658,77.23359,86.24,50.7
NCRP-2026-10034,Loan App Extortion,13692,7,2,15,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.63265,77.27232,93.13,53.7
NCRP-2026-10035,Investment / Ponzi Fraud,11998,20,4,9,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.72014,77.11323,80.56,42.7
NCRP-2026-10036,UPI / QR Code Scam,84897,23,3,12,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.4809,77.07974,69.45,48.0
NCRP-2026-10037,Loan App Extortion,44314,21,1,34,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.63656,77.19867,81.5,55.8
NCRP-2026-10038,Impersonation / Vishing,27351,19,2,42,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.56425,77.34274,80.67,50.1
NCRP-2026-10039,Impersonation / Vishing,183130,8,3,17,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.50971,77.09274,68.97,57.1
NCRP-2026-10040,UPI / QR Code Scam,17926,4,1,49,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.63859,77.21483,82.95,51.2
NCRP-2026-10041,Impersonation / Vishing,85062,21,2,18,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.48945,77.08779,63.31,47.6
NCRP-2026-10042,Loan App Extortion,16324,8,2,15,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.62494,77.27691,91.05,52.7
NCRP-2026-10043,Impersonation / Vishing,175143,11,4,10,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.62875,77.22036,84.4,60.7
NCRP-2026-10044,Investment / Ponzi Fraud,184178,17,1,18,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.49598,77.08332,64.13,64.7
NCRP-2026-10045,UPI / QR Code Scam,26243,3,2,48,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.51272,77.08303,60.76,41.9
NCRP-2026-10046,Impersonation / Vishing,26408,20,3,17,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.62754,77.2163,83.97,46.2
